REF_ID,IN_TIME,VALIDITY,CON_NUM,CON_SIZE,STATUS,OUT_TIME,HOURS_DIFF,DAYS_DIFF
EFS33695,2023-02-02 23:34:18,2023-02-05 23:34:18,UIUU6811228,20.0,E,2023-02-03 01:07:06.047,1.5466797222222222,0.0
EXP34256-123758,2023-02-06 16:39:19,2023-02-06 16:39:19,BERQ4373353,20.0,L,2023-02-08 10:37:54.123,41.97642305555555,1.0
IGOJO13825,2023-01-31 18:43:54,2023-02-03 18:43:54,IBFX3589127,20.0,L,2023-02-01 23:08:19.231,28.40700861111111,1.0
IGOJO13827,2023-01-31 18:53:01,2023-02-03 18:53:01,KYVA2654941,40.0,L,2023-02-03 07:37:37.621,60.74350583333334,2.0
EFS33763,2023-02-04 04:14:51,2023-02-07 04:14:51,TYAK0109720,20.0,E,2023-02-04 06:14:40.569,1.9971025,0.0
EFS33766,2023-02-04 06:20:18,2023-02-07 06:20:18,ESQD2132954,20.0,E,2023-02-04 09:57:03.799,3.612721944444445,0.0
EFS33768,2023-02-04 07:27:02,2023-02-07 07:27:02,GXJB8780507,20.0,E,2023-02-04 07:33:13.351,0.1031530555555555,0.0
EFS33771,2023-02-04 08:25:00,2023-02-07 08:25:00,RKWZ1269287,20.0,E,2023-02-04 11:05:59.928,2.683313333333333,0.0
EFS33773,2023-02-04 09:35:24,2023-02-07 09:35:24,IPYP8656078,20.0,E,2023-02-04 11:06:15.895,1.514415277777778,0.0
EFS33775,2023-02-04 10:18:38,2023-02-07 10:18:38,MPOZ4006813,20.0,E,2023-02-04 12:03:22.769,1.7457691666666668,0.0
EFS33775,2023-02-04 10:18:38,2023-02-07 10:18:38,QCOF1005829,20.0,E,2023-02-04 11:04:58.705,0.7724180555555555,0.0
EFS16805-229219-407289,2023-02-02 03:36:42,2023-02-05 03:36:42,GOXK9475660,40.0,L,2023-02-06 23:02:03.022,115.4225061111111,4.0
EXP34281-123907,2023-02-06 16:45:12,2023-02-06 16:45:12,VSEL8649355,40.0,L,2023-02-08 10:59:03.400,42.23094444444444,1.0
EXP34281-123907,2023-02-06 16:45:12,2023-02-06 16:45:12,DTCX5883616,40.0,L,2023-02-08 11:03:56.202,42.31227833333333,1.0
EXP34394-123981,2023-02-06 17:15:12,2023-02-06 17:15:12,ESNI0511961,20.0,L,2023-02-08 11:07:23.580,41.86988333333333,1.0
EXP34394-123981,2023-02-06 17:15:12,2023-02-06 17:15:12,KLZF1050943,20.0,L,2023-02-08 11:03:12.613,41.80017027777778,1.0
IGOJO13985,2023-02-06 17:15:48,2023-02-09 17:15:48,LOXN1374467,40.0,L,2023-02-06 22:27:27.938,5.194427222222222,0.0
EFS16745-228571-415066,2023-01-30 20:03:49,2023-02-02 20:03:49,CTKM8293631,40.0,L,2023-02-06 23:01:03.567,170.9540463888889,7.0
ALO17784-124045-415269,2023-01-31 03:26:20,2023-02-03 03:26:20,PDFL4527337,20.0,L,2023-02-09 16:03:42.833,228.62300916666663,9.0
IGOJO13994,2023-02-06 18:43:05,2023-02-09 18:43:05,PBKJ9947684,20.0,L,2023-02-07 04:13:53.427,9.513451944444446,0.0
IGOJO13994,2023-02-06 18:43:05,2023-02-09 18:43:05,AASV9327984,20.0,L,2023-02-07 01:21:19.704,6.637417777777778,0.0
IGOJO13994,2023-02-06 18:43:05,2023-02-09 18:43:05,UUQO9500099,20.0,L,2023-02-07 19:06:57.341,24.3978725,1.0
IGOJO13994,2023-02-06 18:43:05,2023-02-09 18:43:05,COAZ8323575,20.0,L,2023-02-07 01:54:37.480,7.192355555555555,0.0
IGOJO13994,2023-02-06 18:43:05,2023-02-09 18:43:05,HNLV6800137,20.0,L,2023-02-07 03:37:55.662,8.914072777777777,0.0
IGOJO13995,2023-02-06 18:43:23,2023-02-09 18:43:23,JWYM1901065,20.0,L,2023-02-06 22:36:04.298,3.8781383333333337,0.0
IGOJO13995,2023-02-06 18:43:23,2023-02-09 18:43:23,YOFI6359767,20.0,L,2023-02-07 04:11:11.774,9.463548333333332,0.0
IGOJO13995,2023-02-06 18:43:23,2023-02-09 18:43:23,ASBV5292221,20.0,L,2023-02-07 02:03:46.134,7.339759444444444,0.0
IGOJO13995,2023-02-06 18:43:23,2023-02-09 18:43:23,TDUL1007023,20.0,L,2023-02-07 04:12:41.764,9.488545555555556,0.0
IGOJO13995,2023-02-06 18:43:23,2023-02-09 18:43:23,NLQY3545196,20.0,L,2023-02-07 04:11:56.541,9.47598361111111,0.0
IGOJO13995,2023-02-06 18:43:23,2023-02-09 18:43:23,IQNQ9920121,20.0,L,2023-02-06 22:42:48.945,3.990540277777778,0.0
IGOJO13995,2023-02-06 18:43:23,2023-02-09 18:43:23,VPSO9213582,20.0,L,2023-02-07 13:40:35.948,18.95359666666667,0.0
IGOJO13995,2023-02-06 18:43:23,2023-02-09 18:43:23,BEWC5596635,20.0,L,2023-02-07 04:11:34.305,9.469806944444445,0.0
IGOJO13995,2023-02-06 18:43:23,2023-02-09 18:43:23,DJOY8715127,20.0,L,2023-02-06 21:43:42.242,3.005345,0.0
IGOJO13995,2023-02-06 18:43:23,2023-02-09 18:43:23,GAFJ0606955,20.0,L,2023-02-07 02:50:23.111,8.1166975,0.0
EXP34270-123796,2023-02-06 18:46:48,2023-02-06 18:46:48,OMQK1137653,20.0,L,2023-02-11 21:43:14.609,122.94072472222224,5.0
EXP34270-123796,2023-02-06 18:46:48,2023-02-06 18:46:48,CDXB6074847,20.0,L,2023-02-11 21:41:38.058,122.913905,5.0
EXP34270-123796,2023-02-06 18:46:48,2023-02-06 18:46:48,VSCL2254419,20.0,L,2023-02-11 21:37:17.475,122.84152083333332,5.0
EXP34270-123796,2023-02-06 18:46:48,2023-02-06 18:46:48,MUIY1471844,20.0,L,2023-02-11 21:36:36.391,122.83010861111111,5.0
EXP34270-123796,2023-02-06 18:46:48,2023-02-06 18:46:48,TAYY5249504,20.0,L,2023-02-11 21:37:30.777,122.84521583333331,5.0
EXP34270-123796,2023-02-06 18:46:48,2023-02-06 18:46:48,JZBM6268719,20.0,L,2023-02-11 21:37:42.969,122.8486025,5.0
EXP34270-123796,2023-02-06 18:46:48,2023-02-06 18:46:48,OCIA2784474,20.0,L,2023-02-11 21:43:36.458,122.94679388888888,5.0
EXP34270-123796,2023-02-06 18:46:48,2023-02-06 18:46:48,NDQO0986520,20.0,L,2023-02-11 21:43:04.049,122.93779138888888,5.0
EXP34303-123871,2023-02-06 18:56:42,2023-02-06 18:56:42,OJEY8468208,20.0,L,2023-02-08 10:36:15.873,39.65940916666666,1.0
EXP34303-123871,2023-02-06 18:56:42,2023-02-06 18:56:42,ETJY4927055,20.0,L,2023-02-08 10:40:45.939,39.7344275,1.0
EXP34303-123871,2023-02-06 18:56:42,2023-02-06 18:56:42,ZAYS5102644,20.0,L,2023-02-08 10:41:36.776,39.74854888888889,1.0
EXP34303-123871,2023-02-06 18:56:42,2023-02-06 18:56:42,STRV0924671,20.0,L,2023-02-08 10:39:58.741,39.721316944444446,1.0
EXP34303-123871,2023-02-06 18:56:42,2023-02-06 18:56:42,YNNG8882244,20.0,L,2023-02-08 10:38:03.368,39.68926888888888,1.0
EXP34284-123839,2023-02-06 19:26:08,2023-02-06 19:26:08,YJGZ6810692,20.0,L,2023-02-08 10:39:48.753,39.227986944444446,1.0
EXP34284-123839,2023-02-06 19:26:08,2023-02-06 19:26:08,GYHA6386637,20.0,L,2023-02-08 10:41:56.393,39.2634425,1.0
EXP34284-123839,2023-02-06 19:26:08,2023-02-06 19:26:08,QOPA9768087,20.0,L,2023-02-08 10:40:56.618,39.24683833333333,1.0
EXP34284-123839,2023-02-06 19:26:08,2023-02-06 19:26:08,ILFB0655744,20.0,L,2023-02-08 10:42:47.028,39.27750777777778,1.0
EXP34284-123839,2023-02-06 19:26:08,2023-02-06 19:26:08,AMRW6966516,20.0,L,2023-02-08 10:34:06.136,39.13281555555555,1.0
EXP34284-123839,2023-02-06 19:26:08,2023-02-06 19:26:08,IUSI7734534,20.0,L,2023-02-08 10:38:22.375,39.20399305555556,1.0
EXP34284-123839,2023-02-06 19:26:08,2023-02-06 19:26:08,VAEN9056122,20.0,L,2023-02-08 10:43:34.957,39.29082138888889,1.0
EXP34284-123839,2023-02-06 19:26:08,2023-02-06 19:26:08,BVNW3991405,20.0,L,2023-02-08 10:39:15.938,39.218871666666665,1.0
MTZEFS16852,2023-02-04 13:00:06,2023-02-07 13:00:06,GEXN8948641,40.0,E,2023-02-10 18:30:16.309,149.5028636111111,6.0
IGOJO13941,2023-02-04 13:12:02,2023-02-07 13:12:02,JCQZ2785188,20.0,L,2023-02-09 23:14:27.834,130.04050944444444,5.0
IGOJO13941,2023-02-04 13:12:02,2023-02-07 13:12:02,DSBN3391385,20.0,L,2023-02-09 22:08:14.191,128.93671972222222,5.0
EFS33785,2023-02-04 13:28:14,2023-02-07 13:28:14,OWZX0735738,40.0,E,2023-02-04 17:12:22.234,3.735620555555556,0.0
EFS33788,2023-02-04 13:51:27,2023-02-07 13:51:27,YFUS5435677,40.0,E,2023-02-04 21:18:48.760,7.456044444444444,0.0
EFS33792,2023-02-04 15:35:49,2023-02-07 15:35:49,FPRQ0747406,20.0,E,2023-02-04 23:30:23.370,7.909547222222222,0.0
EFS33793,2023-02-04 15:38:21,2023-02-07 15:38:21,MHPM4783408,20.0,E,2023-02-04 17:47:27.064,2.1516844444444447,0.0
EFS33793,2023-02-04 15:38:21,2023-02-07 15:38:21,LMQF3522012,20.0,E,2023-02-04 17:12:36.997,1.571110277777778,0.0
EXP34210-123646,2023-02-04 15:57:17,2023-02-04 15:57:17,KIHR1432743,20.0,L,2023-02-08 10:59:12.806,91.03216833333332,3.0
EXP34268-123794,2023-02-04 16:01:58,2023-02-04 16:01:58,FPOI8420795,20.0,L,2023-02-08 11:00:09.952,90.96998666666668,3.0
EXP34268-123794,2023-02-04 16:01:58,2023-02-04 16:01:58,PFYI5767145,20.0,L,2023-02-08 11:05:24.050,91.05723611111112,3.0
EFS16777-228735-404455,2023-01-31 11:48:18,2023-02-03 11:48:18,IQJM0120446,40.0,L,2023-02-10 01:20:05.486,229.52985722222223,9.0
IGOJO13947,2023-02-04 16:55:15,2023-02-07 16:55:15,AGMI8361866,20.0,L,2023-02-05 23:13:29.298,30.303971666666666,1.0
IGOJO13949,2023-02-04 17:06:46,2023-02-07 17:06:46,ZXFK8220556,40.0,L,2023-02-05 05:12:09.346,12.089818333333334,0.0
ALO17818-123919-415966,2023-02-02 02:34:16,2023-02-05 02:34:16,NROV6240871,40.0,L,2023-02-05 17:11:39.253,86.62312583333335,3.0
EXP34069-123314,2023-02-04 17:11:57,2023-02-04 17:11:57,IVZV7756605,20.0,L,2023-02-08 10:57:32.275,89.75979861111112,3.0
EXP34069-123314,2023-02-04 17:11:57,2023-02-04 17:11:57,IXNR9250627,20.0,L,2023-02-08 10:58:12.474,89.77096499999999,3.0
EXP34069-123314,2023-02-04 17:11:57,2023-02-04 17:11:57,JIGL3940949,20.0,L,2023-02-08 10:55:32.713,89.72658694444443,3.0
EXP34069-123314,2023-02-04 17:11:57,2023-02-04 17:11:57,FYBZ8887358,20.0,L,2023-02-08 11:08:39.271,89.94507527777778,3.0
EXP34069-123314,2023-02-04 17:11:57,2023-02-04 17:11:57,BCZV8497219,20.0,L,2023-02-08 10:54:13.459,89.70457194444444,3.0
EXP34069-123314,2023-02-04 17:11:57,2023-02-04 17:11:57,IQBW7076749,20.0,L,2023-02-08 10:56:08.718,89.73658833333333,3.0
EXP34069-123314,2023-02-04 17:11:57,2023-02-04 17:11:57,QGKG7228379,20.0,L,2023-02-08 10:55:50.995,89.73166527777778,3.0
EXP34069-123314,2023-02-04 17:11:57,2023-02-04 17:11:57,FQDE0602388,20.0,L,2023-02-08 10:54:58.924,89.71720111111111,3.0
EXP34069-123314,2023-02-04 17:11:57,2023-02-04 17:11:57,GTTP1144275,20.0,L,2023-02-08 10:57:03.025,89.75167361111112,3.0
EXP34069-123314,2023-02-04 17:11:57,2023-02-04 17:11:57,DYKI1243402,20.0,L,2023-02-08 10:54:05.291,89.70230305555556,3.0
EXP34069-123314,2023-02-04 17:11:57,2023-02-04 17:11:57,DGFO2788343,20.0,L,2023-02-08 10:54:21.699,89.70686083333334,3.0
EXP34069-123314,2023-02-04 17:11:57,2023-02-04 17:11:57,KVNV6583341,20.0,L,2023-02-08 10:54:30.950,89.70943055555556,3.0
EXP34069-123314,2023-02-04 17:11:57,2023-02-04 17:11:57,WOFF8865304,20.0,L,2023-02-08 10:55:07.070,89.7194638888889,3.0
EXP34069-123314,2023-02-04 17:11:57,2023-02-04 17:11:57,WPVL1016267,20.0,L,2023-02-08 10:56:17.175,89.73893749999999,3.0
EXP34069-123314,2023-02-04 17:11:57,2023-02-04 17:11:57,BWLT6398590,20.0,L,2023-02-08 10:57:13.428,89.75456333333334,3.0
IGOJO03301,2023-02-04 17:18:00,2023-02-07 17:18:00,QLEP6419579,40.0,L,2023-02-06 14:29:43.969,45.195546944444445,1.0
IGOJO03301,2023-02-04 17:18:00,2023-02-07 17:18:00,ZDEN2722210,40.0,L,2023-02-06 00:00:34.064,30.70946222222222,1.0
IGOJO03301,2023-02-04 17:18:00,2023-02-07 17:18:00,SQDI4754459,40.0,L,2023-02-06 23:43:05.190,54.418108333333336,2.0
IGOJO03301,2023-02-04 17:18:00,2023-02-07 17:18:00,GSYJ6665677,40.0,L,2023-02-06 13:54:14.274,44.603965,1.0
IGOJO03301,2023-02-04 17:18:00,2023-02-07 17:18:00,EPGN8044828,40.0,L,2023-02-06 19:15:14.587,49.95405194444445,2.0
EFS33613,2023-02-01 11:42:24,2023-02-04 11:42:24,YISH0538695,20.0,E,2023-02-04 12:47:22.356,73.08287666666668,3.0
EFS33676,2023-02-02 15:21:39,2023-02-05 15:21:39,KTDG3463878,40.0,E,2023-02-02 17:46:44.672,2.418242222222222,0.0
EFS33677,2023-02-02 15:26:09,2023-02-05 15:26:09,RTRH0291975,40.0,E,2023-02-02 17:42:02.473,2.264853611111111,0.0
IGOJO13880,2023-02-02 16:45:27,2023-02-05 16:45:27,WGEV7738246,40.0,L,2023-02-03 05:30:42.427,12.75428527777778,0.0
IGOJO13880,2023-02-02 16:45:27,2023-02-05 16:45:27,KIOR5487482,40.0,L,2023-02-03 05:51:47.883,13.105800833333332,0.0
IGOJO13880,2023-02-02 16:45:27,2023-02-05 16:45:27,ORIE2874785,40.0,L,2023-02-03 05:52:32.091,13.118080833333334,0.0
IGOJO13880,2023-02-02 16:45:27,2023-02-05 16:45:27,PBOQ4287656,40.0,L,2023-02-03 15:50:17.832,23.080786666666665,0.0
IGOJO13882,2023-02-02 16:50:48,2023-02-05 16:50:48,GJYD3316651,40.0,L,2023-02-02 17:32:22.490,0.6929138888888888,0.0
EFS33679,2023-02-02 17:54:44,2023-02-05 17:54:44,GJOT2274222,40.0,E,2023-02-02 20:53:26.283,2.9784119444444443,0.0
IGOJO13889,2023-02-02 18:04:29,2023-02-05 18:04:29,NFDN6345449,40.0,L,2023-02-04 20:46:52.818,50.70661611111111,2.0
IGOJO13889,2023-02-02 18:04:29,2023-02-05 18:04:29,KMQY8879855,40.0,L,2023-02-05 10:57:23.383,64.88177305555556,2.0
IGOJO13889,2023-02-02 18:04:29,2023-02-05 18:04:29,OOOP4520965,40.0,L,2023-02-04 14:26:15.681,44.362966944444445,1.0
IGOJO13889,2023-02-02 18:04:29,2023-02-05 18:04:29,JDPW8457103,40.0,L,2023-02-04 14:50:38.018,44.76917166666667,1.0
IGOJO13889,2023-02-02 18:04:29,2023-02-05 18:04:29,ISYC7155500,40.0,L,2023-02-05 03:13:37.139,57.15226083333333,2.0
IGOJO13889,2023-02-02 18:04:29,2023-02-05 18:04:29,JYYT9546962,40.0,L,2023-02-05 16:47:57.080,70.72446666666666,2.0
IGOJO13889,2023-02-02 18:04:29,2023-02-05 18:04:29,UGKX5173147,40.0,L,2023-02-04 07:59:17.541,37.91348361111111,1.0
IGOJO13889,2023-02-02 18:04:29,2023-02-05 18:04:29,XCFO2949350,40.0,L,2023-02-03 20:16:03.497,26.19291583333333,1.0
IGOJO13889,2023-02-02 18:04:29,2023-02-05 18:04:29,HTBA6489714,40.0,L,2023-02-03 20:18:18.365,26.23037916666667,1.0
IGOJO13889,2023-02-02 18:04:29,2023-02-05 18:04:29,TMJA5299370,40.0,L,2023-02-05 17:47:23.902,71.71525055555556,2.0
IGOJO13889,2023-02-02 18:04:29,2023-02-05 18:04:29,KHVF9982950,40.0,L,2023-02-05 16:53:12.021,70.81195027777778,2.0
IGOJO13889,2023-02-02 18:04:29,2023-02-05 18:04:29,KPTG1172457,40.0,L,2023-02-03 20:33:57.374,26.491215,1.0
ALO17801-123923-415486,2023-01-31 18:58:56,2023-02-03 18:58:56,GWDF8846550,20.0,L,2023-02-05 17:05:56.302,118.11675055555556,4.0
EFS33796,2023-02-04 17:33:08,2023-02-07 17:33:08,MGDC1806247,40.0,E,2023-02-04 18:09:21.350,0.6037083333333333,0.0
EFS33796,2023-02-04 17:33:08,2023-02-07 17:33:08,FZYV8024774,40.0,E,2023-02-04 17:47:51.692,0.24547,0.0
IGOJO13953,2023-02-04 17:52:27,2023-02-07 17:52:27,YVYM3727063,20.0,L,2023-02-08 20:41:09.468,98.81179666666668,4.0
IGOJO13953,2023-02-04 17:52:27,2023-02-07 17:52:27,MRAK8880818,20.0,L,2023-02-07 01:05:37.593,55.219609166666665,2.0
IGOJO13953,2023-02-04 17:52:27,2023-02-07 17:52:27,BXZV0589087,20.0,L,2023-02-07 01:23:42.897,55.5210825,2.0
IGOJO13953,2023-02-04 17:52:27,2023-02-07 17:52:27,BRNQ7183095,20.0,L,2023-02-08 01:46:10.767,79.89549083333333,3.0
IGOJO13953,2023-02-04 17:52:27,2023-02-07 17:52:27,RYYU1035818,20.0,L,2023-02-08 20:40:53.377,98.80732694444444,4.0
IGOJO13953,2023-02-04 17:52:27,2023-02-07 17:52:27,QOLE9228804,20.0,L,2023-02-09 00:48:28.696,102.93380444444443,4.0
IGOJO13953,2023-02-04 17:52:27,2023-02-07 17:52:27,UXTC0948473,20.0,L,2023-02-08 17:38:53.496,95.77402666666666,3.0
IGOJO13953,2023-02-04 17:52:27,2023-02-07 17:52:27,FLYQ6659979,20.0,L,2023-02-08 00:54:55.002,79.04111166666667,3.0
IGOJO13953,2023-02-04 17:52:27,2023-02-07 17:52:27,YUFI3273555,20.0,L,2023-02-07 06:20:31.861,60.46801694444444,2.0
IGOJO13954,2023-02-04 17:53:12,2023-02-07 17:53:12,MMWV8136008,20.0,L,2023-02-04 22:48:39.390,4.924275,0.0
EFS33804,2023-02-04 20:40:15,2023-02-07 20:40:15,ILGG9323121,20.0,E,2023-02-05 02:23:19.424,5.717895555555556,0.0
EFS33804,2023-02-04 20:40:15,2023-02-07 20:40:15,QJIL5832961,20.0,E,2023-02-05 08:47:35.872,12.122464444444445,0.0
EFS33806,2023-02-04 21:52:15,2023-02-07 21:52:15,BHLT6417836,40.0,E,2023-02-05 09:16:44.785,11.408273611111111,0.0
EFS33808,2023-02-04 23:04:57,2023-02-07 23:04:57,JZFD3280519,40.0,E,2023-02-05 11:37:01.027,12.534451944444443,0.0
EFS33808,2023-02-04 23:04:57,2023-02-07 23:04:57,DJWK1342773,20.0,E,2023-02-06 03:14:22.690,28.15713611111111,1.0
IGOJO13765,2023-01-30 16:09:20,2023-02-02 16:09:20,RIDU4533982,40.0,L,2023-02-02 05:29:51.895,61.34219305555556,2.0
IGOJO13765,2023-01-30 16:09:20,2023-02-02 16:09:20,SZPD5587064,40.0,L,2023-02-03 04:02:17.378,83.88260500000001,3.0
